name,location,introduce,field,pagenumber
넥스팬더,서울시 서초구 강남대로 311 10층 1023호 ,한국 일본 간 Cross-border 사업 및 투자 교류 컨설팅,교육,49
선을만나다,서울시 서대문구 연희동 123-6 2층 ,스타트업 전문 홍보대행사,광고/마케팅,51
원테크스탑,"서울 서초구 강남대로 465 (서초동, 교보생명보험(주) 서초사옥) 24층",ONE(Container shipping company_ 싱가폴소재) 그룹 IT 아웃소싱 서비스 제공,"(e)커머스,물류",52
국민대학교 글로벌 창업벤처대학원,서울특별시 성북구 정릉로 77 국민대학교 경영관 501-1호 글로벌 창업벤처대학원 ,창업교육,스타트업 생태계,53
매쉬업엔젤스,"서울 강남구 테헤란로27길 16 (역삼동, BMY역삼타워) 7층","매쉬업엔젤스는 ICT 분야에 특화된 초기 스타트업 전문 투자사다. 현재 TIPS 운영기관으로 등록되었으며, 스타일쉐어, 드라마앤컴퍼니(리멤버), 스캐터랩(핑퐁), 텐핑, 튜터링 버킷플레이스(오늘의집), 아이오앤코, 옴니어스 등 90여개의 스타트업에 초기 투자를 진행했다.",스타트업 생태계,54
(주)벽산,"서울 중구 퇴계로 307 (광희동1가, 광희빌딩) 14층",건축자재 시공 및 제조,제조/하드웨어,55
(주)하츠,경기 평택시 진위면 동부대로 202 (청호리) ,"레인지후드 및 쿡탑제조, 실내공기질관리",제조/하드웨어,56
미주교육문화진흥회,양산시 증산역로 세영프라자 504호 ,세상 모든 청소년이 자기 주도적으로 행복을 찾게하는 올바른 진로교육,교육,58
(주)엑센트리벤처스,서울 강남구 봉은사로20길 32 (역삼동) ,"액셀러레이팅, 스타트업 투자
 4차 산업혁명(기술 기반) 관련 기업 발굴·육성·투자로 유니콘 기업 배출",스타트업 생태계,59
주식회사 알파브라더스,"서울 강서구 공항대로45길 71 (등촌동) 씨에이치빌딩 3층,8층",엑셀러레이터 ,"광고/마케팅,교육",60
메쉬코리아,"서울시 강남구 봉은사로 112길 6, 2층, 4층, 5층, 6층 ",메쉬코리아는 2013년 1월 설립 이래로 지금까지 끊임없이 도전하고 혁신하며 성장하고 있는 IT 기반의 물류 스타트업입니다. 투명하고 유연하게 라이더를 연결하는 물류 플랫폼을 구축하는 것을 기업의 미션으로 삼고 배송기사님,모빌리티,62
레드타이,서울 마포구 서교동 384-9 2층 다솜빌딩,.,"광고/마케팅,여행/레저",63
애드오피,서울시 강남구 테헤란로 86길 14 ,디지털 광고에 필요한 기술 기반의 광고 플랫폼 회사입니다.,광고/마케팅,64
로사퍼시픽,서울시 강남구 논현동 39-22 로사퍼시픽 빌딩 ,화장품 및 화장용품 도매업,"광고/마케팅,패션/뷰티",65
식신,"서울시 강남구 테헤란로 20길 10, 9층 ",전국부터 해외까지 없는 맛집이 없는 No.1 맛집 정보 & 추천 서비스 국민맛집 식신!,푸드,66
왓챠,"서울 서초구 강남대로 343 (서초동, 신덕빌딩) 신덕빌딩 3층","OTT 콘텐츠 스트리밍 플랫폼, 구독 서비스",콘텐츠,68
피유엠피,서울 강남구 언주로 528 (역삼동) ,"배달 안되던 맛집배달, 마트편의점배달, 사다주기, 갖다주기, 세상의 모든 심부름.",모빌리티,69
판다코리아닷컴,"서울 성동구 상원1길 26 (성수동1가, 서울숲A타워) 403,404호",'열심히 제품을 만들어도 해외에 판매할 방법을 모른다'는 중소기업의 하소연으로부터 시작. 중화권 소비자들이 우수한 한국정품(韓國正品)을 ‘쉽고 싸게 직접’ 살 수 있는 해외직판(역직구) 플랫폼을 만들자는 고민에서 출발한 기업,"(e)커머스,물류",70
스포카,"서울 강남구 테헤란로 133 (역삼동, 한국타이어빌딩) 3층","스포카의 매장 마케팅 솔루션으로 
 고객과 매장 사이는 한 걸음 더 가까워집니다 스포카는 바쁜 매장에 꼭 필요한 서비스를 만듭니다. 소상공인분들이 섬세한 매장 경험, 기분 좋은 접객, 완벽한 상품을 충분히 고심하기에 하루는",광고/마케팅,71
아이웰콘텐츠,"서울시 서대문구 신촌로 205, 507호 ",꿈꾸는 젊은 출판사,콘텐츠,72
보안전략연구소,경기도 성남시 ,"연결되는 모든 세상에서 신뢰의 중심에 서 있겠습니다. 안전하고 신뢰할 수 있는 세상을 보장하고, 이를 통해 더 편리하고 즐거운 세상을 만드는데 함께 하겠습니다.",교육,73
(주)토스랩,서울 강남구 영동대로85길 34 (대치동) 13층,28만 팀이 선택한 아시아 No.1 협업툴 '잔디(JANDI)’를 서비스하는 토스랩입니다.,법률/인사/비즈니스,74
파인드강사,"서울시 서대문구 신촌로 203, 107호 (?)` ","기업교육,특강강사섭외,명사섭외,연사섭외,HRD,위탁교육,강사섭외 강사를 찾는 가장 좋은 방법 파인드강사.",교육,75
아이엘사이언스,경기 성남시 중원구 마지로 123-1 (하대원동) ,"LED조명, 태양광조명 시스템, 친환경 제품 등의 개발부터 제작, 시공까지 통합시스템을 제공",제조/하드웨어,76
오이씨랩,"서울시 서초구 양재천로 95-2, 7층 ",오이씨랩은 “누구나 내 인생의 ceo”로 살아갈 수 있는 교육 서비스를 제공합니다. 누구나 “내 인생의 ceo”로 살아갈 수 있는 앙트십 교육 서비스를 제공합니다.,"교육,법률/인사/비즈니스",77
모두컴퍼니,"서울 서초구 강남대로 311 (서초동, 한화생명보험빌딩) ",흩어져있는 주차정보를 한 손에. 위치기반 실시간 주차공간 정보를 제공합니다. 필터기능을 이용하여 맞춤 주차장을 손쉽게 찾아볼 수 있습니다,모빌리티,78
플랫포스,"서울 중구 청계천로 40 (다동, 한국관광공사 서울센터) 관광기업지원센터 904호",누구나 쉽게 만드는 자신만의 모바일 상품권 플랫폼,광고/마케팅,79
미드레이트,"서울 중구 을지로 66 (을지로2가, 하나금융그룹 명동사옥) ",크라우드 펀딩 기반의 금융 IT 기업,금융/보험/핀테크,80
(주)한국교육데이터,"서울 송파구 오금로11길 33 (방이동, 신동아타워) 6F",데이터통계분석/논문컨설팅,통신/보안/데이터/인프라,81
올리브스토리,"서울시 종로구 새문안로 92, 1418호 ",모바일 솔루션 개발에만 전념하는 젊은 벤처기업,제조/하드웨어,82
제노플랜코리아,"서울 서초구 강남대로 465 (서초동, 교보생명보험(주) 서초사옥) B동 21층",유전자 맞춤 서비스,헬스케어,83
(주)유피소프트,"서울 성북구 종암로 63 (종암동) 2,3,5층",사무기기 공유 렌탈하는 I.T.회사,"(e)커머스,물류",84
렌딧,"서울 중구 을지로5길 19 (수하동, FERRUM TOWER) 18층","P2P 개인 신용대출,투자 서비스",금융/보험/핀테크,85
하이메디,"서울시 서초구 강남대로 527, 13층 ",아랍과 러시아/CIS 고객에 집중하는 한국의 선도 의료관광 스타트업,"헬스케어,의료/바이오",86
와이네트워크,서울시 강남구 ,버라이어티 집 플랫폼,리빙/라이프스타일,88
카카오스타일,서울시 서초구 ,여성 쇼핑몰을 한 번에 모아주는 필수 앱,패션/뷰티,89
밸류로드,서울시 구로구 ,주유사업의 핵심 컨설팅 역량을 보유한 O2O솔루션 전문 기업,교육,90
센스톤,"서울 동대문구 천호대로 329 (답십리동, 도이치모터스빌딩) 5층","OTAC 기술은  기존 인증 방식의 한계를 넘어선 사용자 간, 기기 간, 사용자와 기기 간 단방향 다이내믹 식별 및 인증 기술",통신/보안/데이터/인프라,91
두나무,"서울 강남구 테헤란로4길 14 (역삼동, 미림타워) 5층",금융과 기술 두 개의 큰 나무 줄기가 만나. 누구나 더 쉽고 효과적으로 투자할 수 있는 금융 환경을 만듭니다.,금융/보험/핀테크,92
투게더앱스,서울시 강남구 ,핀테크기술 기반 온라인 플랫폼 스타트업,금융/보험/핀테크,93
에이스휴먼파워,서울시 서초구 ,에이스휴먼파워(주)는 인재를 소중히 여기는 기업이라는 가치 아래 IT혁명과 함께 빠르게 변화하고 있는 기업의 인력 운용과 고용에 탄력적이고 효율적인 인력 관련 서비스를 제공하고자 2002년에 설립하게 되었습니다. 다양한,법률/인사/비즈니스,95
팀트웰브,서울시 강남구 ,스포츠 마케팅 사업 / 데이터 기반 스포츠 분석 사업,"콘텐츠,광고/마케팅",96
원더스,서울시 성북구 ,터치로 주문하는 퀵서비스,"물류,(e)커머스",97
정육각,경기 김포시 고촌읍 아라육로57번길 126 (전호리) 주식회사 정육각,초신선 D2C 서비스,"농·축·임·수산,(e)커머스",98
아이티앤베이직,경기도 부천시 ,오프라인과 온라인 소통 및 커뮤니케이션 플랫폼,교육,99
컬쳐히어로,경기도 분당구 ,대한민국 대표 푸드 플랫폼,푸드,102
글로벌셀러창업연구소,경기도 안양시 ,"교육, 솔루션, 플랫폼, 물류, 인큐베이팅을 한번에 배울 수 잇는 국내 유일 교육기관.","교육,(e)커머스",103
마켓디자이너스,서울시 중구 ,모바일 원어민 회화 서비스,"교육,리빙/라이프스타일",104
아이피타킷,서울시 강남구 ,‘손에 잡히는 특허 Report’를 지향하는 글로벌 리서치 & 마케팅 기관,교육,105
차비스,서울시 강남구 ,,모빌리티,106
심플프로젝트컴퍼니,서울 종로구 인왕산로 5 (사직동) ,국내 최초 공유주방 서비스,"부동산/프롭테크,푸드",107
정글엠엔씨,서울시 서초구 ,,광고/마케팅,108
헬프미,"서울 강남구 테헤란로77길 14 (삼성동, ES타워) 9층 902호",법인등기 및 법률서비스,법률/인사/비즈니스,109
스마트포스팅,서울시 강남구 ,스마트포스팅은 자체 개발한 콘텐츠 마케팅&광고 플랫폼을 운영하고 있는 인플루언서 마케팅 기업입니다. 데이터 기반의 타기팅과 트래킹으로 클라이언트의 합리적인 성과 도출을 위해 노력하고 있습니다.,광고/마케팅,110
벤디스,"서울 강남구 봉은사로103길 5 (삼성동, 성재빌딩) 4층",기업 식대관리 솔루션,"푸드,(e)커머스",111
라이앤캐처스,서울시 공덕동 ,데이터마이닝 기술로 개발 중인 도서 추천 앱,콘텐츠,112
더웨이브톡,"대전 유성구 문지로 193 (문지동, KAIST문지캠퍼스) 진리관 T337","KAIST 기술 이전 스타트업으로, 레이저와 딥러닝 분석을 이용한 신속한 박테리아 및 이물질 검사 장비",환경/에너지,113
바로고,서울시 강남구 ,물류스타트업,"모빌리티,푸드",114
블루스카이게임즈,서울시 성동구 ,,게임,115
한국통합민원센터,서울시 종로구 ,"전세계 민원서류 원스톱 서비스
 해외 공증, 인증, 아포스티유",법률/인사/비즈니스,117
차지인,"경기 성남시 분당구 황새울로 216 (수내동, 휴맥스빌리지) 8층",전기차 충전 인프라 기업,모빌리티,119
지케이네트웍스,"경기 안산시 단원구 광덕4로 220 (고잔동, 밀레니엄프라자) 201-4호 ","IT, 공산품, 문화 콘텐츠 및 서비스 부문으로 컨설팅 역량을 키워 나가고 있는 신예 컨설팅 기업","법률/인사/비즈니스,컨설팅",120
New Wave Sports,"부산 남구 고동골로 1 (문현동, 삼삼부동산) 임의로 설정한 것임",0,알수없음,121
퓨처웍스,서울시 강남구 ,발매 정보를 한 곳으로 모은 패션 통합 정보 앱,패션/뷰티,122
체인로지스,서울시 용산구 독서당로 31 ,기업퀵서비스 및 배송물류전문기업,"물류,(e)커머스",124
다이어리트래블,서울 마포구 동교로 12안길 16 삼성빌딩 2층. ,"맞춤 자유여행 전문, 1:1 개별 상담, 쉽고 빠른 예약 시스템, 현지에서 들려주는 여행정보, 투명한 가격, 특전 가득한 이벤트.",여행/레저,125
코자자,"서울 중구 청계천로 40 (다동, 한국관광공사 서울센터) 문화창조벤처단지 CEL 1403호",숙박 공유 서비스,여행/레저,126
온디맨드랩,"서울 강남구 테헤란로77길 11-12 (삼성동, 아라타워) 4F",고객과 전국 세탁소를 연결하는 나만의 모바일 세탁서비스,리빙/라이프스타일,127
펀다,서울시 서초구 강남대로 483 청호빌딩 9층 ,자영업 전문 P2P 금융기업 FUNDA,금융/보험/핀테크,128
(주)이사벨스포츠,서울시 송파구 백제고분로 7길 7 (잠실동 176-6) 민들레빌딩 4층 ,고급스럽고 가치있는 기념사업을 기반으로 국내 프로야구가 문화로 발전하는데 이바지하며 나아가 스포츠 문화산업 에 중심이 되는 회사가 될 것을 목표로 합니다.,"(e)커머스,물류",129
브리즘,"서울 성동구 연무장5가길 25 (성수동2가, 성수역 SK V1 Tower) 906호","3D프린팅 안경.얼굴 3D스캐닝, 사이즈(S/M/L)안경, 얼굴 맞춤안경.",패션/뷰티,130
레터플라이,서울특별시 영등포구 63로 50 (63한화생명빌딩) 4층 ,핸드메이드&커스텀 선물로 소중한 사람에게 마음을 전하세요! 예약배송/빠른배송/꽃,콘텐츠,131
브이리얼,경기도 성남시 분당구 대왕판교로645번길 12 경기 창조경제혁신센터 9층 ,360도 3D스캔 및 360VR동영상을 촬영하여 HMD VR 가상현실 콘텐츠 및 360 3D웹플레이어를 제작,콘텐츠,132
위시켓,서울특별시 강남구 테헤란로43길 18 SC빌딩 4층 (주) 위시켓 ,기업의 프로젝트와 개발회사 & 프리랜서를 이어주는 온라인 아웃소싱 플랫폼,법률/인사/비즈니스,133
프랑코지,서울시 마포구 서교동 352-21 (주)프랑코지 1F ,온/오프라인을 이어주는 역할을 하는 옴니채널 마케팅 및 플랫폼을 기획하고 개발,광고/마케팅,134
더코퍼레이션,"서울특별시 강남구 강남대로 364, 12층 (역삼동, 미왕빌딩) ",더멘토링은 업계 검증된 전문가와 일반인을 연결하는 지식거래 Q&A플랫폼 입니다.,"콘텐츠,소셜/미디어/커뮤니티",135
더빔,서울시 광진구 광나루로 474 303호 ,가속도센서를 장착한 야간 자전거 후미등과 같은 다양한 자전거 안전용품을 제작,제조/하드웨어,136
트립비토즈,"서울특별시 마포구 포은로 9, 4층 ",트립비토즈는 당신이 알기도 전에 당신이 가고 싶은 여행지를 추천하고 즉시 구매할 수 있는 플랫폼을 만들고 있습니다.,"여행/레저,(e)커머스",137
끄라몽,서울 강남구 테헤란로 116 10층 ,세상을 바꾸는 디자이너들의 착한 베이스 캠프,패션/뷰티,138
FLAGSHIP, ,,제조/하드웨어,139
제휴합시다,서울시 강남구 테헤란로84길 17 4층 ,기업 공동구매 및 연합복지 서비스,광고/마케팅,140
크레이티버, ,사용자 빅데이터 기반으로한 사용자별 맞춤 큐레이션 제공 인공지능(AI)서비스,통신/보안/데이터/인프라,141
하스카,서울 양천구 중앙로 217 (신정동) 제주벤처마루 4층 마운틴룸,스타트업 행복성장 교육연수 플랫폼,교육,142
아이씨비,"서울 마포구 성지1길 30 (합정동, THE VOID[더 보이드]) ","Alipay(알리페이)의 공식 에이전트로서, 중국인을 대상으로 한 전자결제서비스, 알리페이와 알리바바 그룹의 물류서비스, 차이니아오 중국배송을 제공",금융/보험/핀테크,143
알스피릿,대전광역시 유성구 대학로99 산학연교육연구관 901호 ,과학기술교육미디어/지능형데이터서비스,통신/보안/데이터/인프라,144
아이디자인랩,서울시 마포구 잔다리로 3안길 24 ,"교육 큐레이션 플랫폼 운영, 교육 콘텐츠 개발, 비즈니스협상전략그룹, 고아웃사이드 교육 브랜드 운영, 기업교육 서비스, 스마트러닝 솔루션","교육,콘텐츠",145
겟차,"서울특별시 강남구 강남대로 464, 4층 (본사) ",똑똑한 자동차 구매를 돕는 신차구매 파트너 입니다.,"모빌리티,(e)커머스",147
엔터크라우드,서울시 마포구 백범로31길 21 서울창업허브 722호 ,"- 개인 맞춤형 공연 추천 서비스를 만드는 엔터크라우드 입니다.
 - 당신에게 맞는 공연을 찾아주는 서비스. 공연을 쇼핑하라, 아이겟.","콘텐츠,여행/레저",148
오윈,서울 서초구 반포대로27길 16 (서초동) 5~6층,바로 시작 가능한 커넥티드 카 솔루션,모빌리티,149
오지큐우먼스톡,"서울특별시 강남구 논현로 648, 3층(논현동, 선기빌딩) ","이세상 모든 뷰티/패션 상품, 비디오로 보니까 싸다. 믿을 수 있는 뷰티/패션 브랜드 상품 할인 특가전, 동영상 뷰티팁, 패션팁과 고급정보까지 제공해드리는 패션뷰티 이커머스","패션/뷰티,(e)커머스",150
코즈웍스,"경기도 성남시 분당구 황새울로 
 311번길 14, 서현리더스빌딩 801호 ",공익사업을 위한 각 주체를 잇는 연결고리로서 함께의 가치를 만드는 공익캠페인 컨설팅 그룹,콘텐츠,151
이직콜,부산 부산진구 가야대로498번가길 8-6 (가야동) 영파크빌101동 501호,"지금까지 다단계운송업체를 통해서 운송의뢰 및 배차받는 방식에서 
 이제는 실화주와 차주 바로 연결해드립니다. (e-직콜) http://ezikcall.com
 
 화주분들은 물류비용절감 하시고 차주분들은 적정운송료를 받으세요.",모빌리티,152
오픈트레이드,서울특별시 강남구 역삼동 723-18 북촌서호빌딩 4층(언주로81길 26) ,세상을 바꾸는 혁신 스타트업을 위한 엔젤 투자 플랫폼,금융/보험/핀테크,153
미스터픽,"서울시 강남구 테헤란로 447 
 (삼성동 144-29) KB우준타워 16층 ","중고차 구매 플랫폼 서비스 '""첫차'"" 제공. 실매물, 인증딜러, 50여가지 숨은 정보, 내차팔기, 직거래까지!","모빌리티,(e)커머스",154
민다,"서울 마포구 성산로2길 55 (성산동, 샤인빌딩) 602호","'""민다'""는 전세계 160여개 도시 1,300여개 한인숙소와 50여개 도시 5,000여개 트립을 동시에 예약할 수 있는 자유여행 플랫폼입니다.","여행/레저,(e)커머스",155
매스아시아,"서울 강남구 삼성로 540 (삼성동, 빌딩 브로모) B1",도시지능형교통서비스,모빌리티,156
케이피보험서비스,"서울 영등포구 국제금융로 10 (여의도동, 서울 국제금융 센터) 43층","국내 최초 보험공동구매 인슈어테크 플랫폼 인바이유, 소비자가 중심이 되는 맞춤형 보험서비스를 제공합니다.",금융/보험/핀테크,157
인스랩,"서울특별시 강남구 삼성로 540, 잭팟코워킹스페이스 B1층 EH1호 (삼성동) ",B2B 고객이 원하는 계획대로 IOT제품을 개발&생산할수 있는 IOT 화이트박스 플랫폼을 준비하고 있습니다. 금년 9월 오프닝을 예상하고 있습니다. 감사합니다.,통신/보안/데이터/인프라,158
산타크루즈컴퍼니,"서울시 강남구 봉은사로 68길 41 4층
 산타크루즈 컴퍼니 ",모든 사람에게는 ‘잊혀질 권리’가 있습니다.과거의 부정적인 일들이 현재의 삶에 영향을 주어서는 안된다는 슬로건으로 우리나라 최초로 온라인기록 삭제업무를 시작한 “산타크루즈컴퍼니”입니다.,소셜/미디어/커뮤니티,159
임팩시스,강원도 춘천시 강원대학길1 청정산업기술대학(보듬관) 805호 ,스마트 실시간 예약관리 시스템 [편리한 터치 인터페이스에 직관적인 관리자 시스템까지 이제 티켓 발권에서 찾아오는 스트레스는 모두 날려버리세요!],광고/마케팅,160
